disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_48cc619f00,发颐,1,东白薇、京川贝、双钩藤、地栗、夏枯草、天葵子,上气不接下气、便不畅、咳吐粘痰、左颐中项而痛、气冲胸闷
Disease_8e95b189b9,口喎,1,丝瓜络、宽筋草、川楝子、延胡、明乳香、桑叶,肋骨痛由后窜背
Disease_ff95b06b15,口干身热,1,冬桑叶、月石、济银花、滁菊花、瓜蒌仁、碎羚角,便如红酱带血、口干、身热
Disease_7ba1a45899,口燥渴不引饮,1,半贝丸、海南子、滑石、片黄芩、竹叶、肥知母,口燥、渴不引饮、溺尚短赤
Disease_ddc9186457,口疳,1,原麦冬、天冬、尿浸石膏、月石、熟地露、生地,便燥、溺短
Disease_6f02b42073,吐血,1,乌参、元参、冬虫夏草、天麦冬、女贞子、牡蛎,便秘、吐血、喉燥、溺黄、腰疲痛
Disease_ea5204b190,呕血,1,东白薇、丹皮、京川贝、代代花、侧柏叶、光杏仁,胸闷、鼻塞
Disease_58bc16154f,咳,1,光杏仁、冬桑叶、前胡、新会皮、桔梗、浙茯苓,口苦、吐痰、胸痛
Disease_7ac40ad4b0,咳吐黑痰,1,丝通草、佩兰叶、光杏仁、新会皮、杜兜铃、杜藿梗,口腻、咳吐黑痰、溺黄而微热、肢懈、背微寒
Disease_f2192f0c3a,咳喘,1,光杏仁、冬桑叶、寒水石、左金丸、旋覆花、海蛤壳,便燥、口苦而燥、咳多浓痰、咳痰带红、喘不得卧
Disease_ec1463e843,哮病,1,东白芍、光杏仁、北五味、北细辛、姜半夏、川桂枝,咳吐白沫、咳嗽连声、睡则呼吸促迫
Disease_7a8b057dbf,善食便泻,1,乌梅炭、冬桑叶、旋覆露、杜兜铃、枇杷露、桑叶,咳嗽、烦啼、腹硬、身热
Disease_fe0545d5ff,喉痒干咳,1,光杏仁、打延胡、明乳香、春砂壳、滑石、甘松,便泄、口腻、喉痒、带下、干咳
Disease_0a8421efdf,喉痧,1,冬桑叶、广郁金、枳实、槟榔丸、滑石、灯芯,下午至夜热甚、二便不利、便闭、先寒后热、口燥渴
Disease_d14c5ffb27,喉痹,1,乌元参、京川贝、北沙参、天冬、尿浸石膏、瓜蒌仁,溺短热、脘满不舒
Disease_970a885420,喉蛾,1,万年青根、冬桑叶、吹玉钥匙、大青、安南子、滁菊花,体疼、便不爽、形寒、身热
Disease_9d116281a5,喘逆,1,冬虫夏草、北沙参、原麦冬、款冬、海蛤壳、炙草,咳痰、气逆、神倦、肢懈
Disease_0dce9b444e,嗽,1,光杏仁、地骷髅、宽膨散、滑石、牛蒡、瓜蒌仁,二便不利、咳痰不爽
Disease_50a53ce720,外寒内热,1,冬桑叶、冬瓜皮、明天麻、滁菊花、灯芯、瓜蒌皮,口咸、干呕、恶心、胃钝
Disease_e0a7aa450b,外感风湿,1,佛手片、佩兰叶、冬桑叶、冬瓜子、地栗、新会白,便尚宿垢、口腻、口臭、大便宿垢、形寒
Disease_6d7715a745,外风,1,光杏仁、宽筋草、广皮红、延胡、明乳香、木瓜,伸则更痛、伸缩不能自由、右胁胸脚窜痛、咳嗽、夜寐不安
Disease_56db5eeffb,多食伤脾,1,丝通草、佛手片、楂肉、浙茯苓、淮山药、竹叶,便溏、溺少、足肿、面浮
Disease_cdb95d8f47,大便不畅,1,佛手片、佩兰叶、导滞丸、广郁金、新会皮、滑石,便虽通尚不畅、溺赤、胸闷
Disease_ad232ad6fd,天痘内陷,1,元参心、玳瑁、瓜蒌仁、生地、竹沥、紫雪丹,人昏不语、口难下咽、唇舌齿燥
Disease_0b12d5d2b7,失聪,1,丝瓜络、丝通草、宽筋草、滑石、磁朱丸、络石藤,胃筋拘挛
Disease_55cb262e3a,头晕,1,广郁金、明天麻、桑寄生、滁菊花、竹茹、络石藤,口淡、头晕痛、带多、心泛、胃钝
Disease_db77d1153d,头晕痛,1,佩兰叶、广郁金、明天麻、枳壳、滁菊花、竹叶,头晕痛、背微寒、胸闷、身热
Disease_538f41e24b,寒湿头痛,1,光杏仁、川桂枝、新会皮、滑石、白芷、米仁,咳嗽白痰、头痛、形寒、指冷、腰痛
Disease_f15b5c41f7,寒热,1,佩兰叶、冬桑叶、牛蒡子、竹叶、苏叶梗、苏薄荷,头痛、寒热、胃钝、胸闷、身痛
Disease_3b2b273617,寒热身痛自汗,1,佛手片、佩兰叶、冬桑叶、山栀、新会皮、木香槟榔丸,便闭、口淡而苦、寒热、溺热、肢懈
Disease_3ebd4db743,寒热身腹痛,1,广郁金、槟榔丸、滑石、瓜蒌皮、竹叶、竹茹,寒热、胃钝、脘满、身腹痛
Disease_86daa36798,小便似淋非淋,1,冬瓜子、冬葵子、山栀、滑石、瓜蒌皮、秦艽,便不畅、小便似淋非淋、肢懈、身痛
Disease_a17022c048,少寐,1,南芡实、原麦冬、夜交藤、建兰叶、海蛤壳、熟地露,伏热上潮、便溏、口干舌燥、呕吐黏涎、咯吐痰涎
Disease_8ab0d364c8,干呕,1,丝瓜络、丝通草、代代花、佛手片、冬瓜子、安南子,二便不利、便闭、口燥、口苦、干呕
Disease_1867501208,心悸,1,东白薇、建兰叶、木茯神、滑石、灯芯、真珠母,夜则神烦发躁、头身发热、心脏悸动、连胀
Disease_f4acbfa423,心火肝风互结,1,冬桑叶、宽筋草、滁菊花、滑石、石决明、竹茹,寐少、心跳、手足筋脉串痛、汗多、胸热
Disease_4829bcf9e9,心肝火盛,1,佛手片、冬桑叶、北细辛、安神丸、左金丸、广郁金,口干、嗳气、夜间痛、头晕、牙痛
Disease_8fced9ec09,心肝血虚,1,川黄草、左牡蛎、新会白、白芍、石决明、阿胶,便燥、夜不寐安、头痛、心跳、筋惕肉瞤
Disease_29cd77a29c,心肾两亏脾胃不健,1,云茯神、仓米、化龙骨、半夏、左牡蛎、干荷叶包炒陈仓米,冷汗、多梦纷纭、夜寐不安、痰嗽、身体不倦
Disease_e6f3519dc2,心跳,1,代赭石、六和曲、卷川朴、双钩藤、姜半夏、宽筋草,上冲则心跳、上冲胸满、冲气上逆、咯痰、嗳气
Disease_4489f8e612,惊伤神志心悸胆怯,1,丝瓜络、佛手片、冬瓜子、冬葵子、夜合花、川楝子,作呕、咽酸、夜间少寐、大便欲解不解、心悸
Disease_ec16722da6,惊痫,1,九制胆星、北胆星、双钩藤、天麻、川贝母、左牡蛎,便少而艰、便燥、便闭、呕吐痰涎、四肢抽搐
Disease_06946459d9,手背肿痛,1,大青、忍冬藤、枳实、滑石、瓜蒌仁、紫花地丁,不便、不食、红肿热痛
Disease_ffeba02a4f,手足拘挛,1,宽筋草、川桂枝、川芎、当归、木瓜、滑石,两手筋急拘挛、口淡、右足筋急拘挛、胃钝
Disease_3b8ebae585,暑湿兼寒热,1,二妙丸、佛手片、佩兰叶、冬瓜皮、山栀、新会皮,口淡、头胀、肢懈、胃钝
Disease_eb71270dc3,暑湿化火,1,丝瓜络、冬桑叶、桑芽、滁菊花、滑石、灯芯,便泄、口渴、夜啼、身热
Disease_9b669c366a,暑湿化疟,1,光杏仁、冬瓜皮、山栀、常山、新会皮、杜藿香,口淡胃钝、口燥渴、头痛、形寒肢冷、肢懈
Disease_53d20ab46e,暑湿夹痧,1,佛手片、佩兰叶、山栀、杜藿梗、滑石、薄荷梗,二便赤热、口腻、肢懈、胃钝、脘满
Disease_1fa06f2a37,暑湿夹肝胃气,1,川连、广郁金、枳实、滑石、甘松、竹茹,下午热盛、便闭、吐苦酸呕、寒轻、溺赤
Disease_0bd2cf9864,暑湿挟肝风,1,冬桑叶、双钩藤、海南子、海蛤壳、滁菊花、灯芯,气急、神倦、神昏
Disease_ad1437ff85,暑湿类疟,1,丝通草、冬桑叶、川连、广郁金、木香槟榔丸、枳实,便闭、咳嗽、夜不安寐、干呕、溺赤热
Disease_434bd25963,暑湿腹痛,1,新会皮、枳实导滞丸、滑石、白蜜、竹茹、莱菔汁,下痢、吐乳、腹痛
Disease_4bf73e8e2e,暑湿霍乱,1,姜炒川连、广郁金、枳壳、滑石、竹叶、竹茹,便泄而热、吐苦、脘满、腹痛
